seller-sku	asin1	item-name	item-description	listing-id	price	quantity	open-date	product-id-type	item-note	item-condition	will-ship-internationally	expedited-shipping	product-id	pending-quantity	fulfillment-channel	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	optional-payment-type-exclusion	scheduled-delivery-sku-set	merchant-shipping-group	standard-price-point	ProductTaxCode	status	minimum-seller-allowed-price	maximum-seller-allowed-price	Progressive Price Type	Progressive Lower Bound 1	Progressive Price 1	Progressive Lower Bound 2	Progressive Price 2	Progressive Lower Bound 3	Progressive Price 3	maximum-retail-price
0.5IN-ALU-STRIP-ST2-.COM	B0C8ZCFQZC	TREE MAISON CORONATING HOMES Vastu Aluminium Strip | Width- 0.5 Inch | Thickness - 0.3mm | Length- 8 Feet Approx | Zone Balancing | Toilet Correction | Aluminium Strip for Vastu | Pack of 2	The purpose of this metal strips technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	0622AVVKIG6	315		2023-06-22 17:43:23 IST	1		11			B0C8ZCFQZC		AMAZON_IN	313.0														Template		A_GEN_STANDARD	Active	279.0	479.0								999.0
0.5IN-BRASS-STRIP-ST2-.COM	B0C8ZFRC3Y	TREE MAISON CORONATING HOMES Brass Strip | 0.5 INCH | Pack of 2 | Brass Strip for Vastu | Vastu Strip Remedy | Width-12mm, Thickness-0.3mm, Length-8 Feet Approx	The purpose of this metal strips technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	0622AW0JVHJ	499	10	2023-06-22 17:43:23 IST	1		11			B0C8ZFRC3Y	0	DEFAULT	497.0														Template		A_GEN_STANDARD	Active	399.0	659.0								999.0
0.5IN-COPPER-STRIP-ST2-.COM	B0C8ZFPNTJ	TREE MAISON CORONATING HOMES Copper Strip | 0.5 INCH | Pack of 2 | Copper Strip for Vastu | Vastu Strip Remedy | Width-12mm, Thickness-0.3mm, Length-8 Feet Approx	The purpose of this metal strips technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	0622AW1VDC5	849		2023-06-22 17:43:23 IST	1		11			B0C8ZFPNTJ		AMAZON_IN	849.0														Template		A_GEN_STANDARD	Active	799.0	999.0								1499.0
0.5IN-IRON-STRIP-ST2-.COM	B0C8ZDSCHS	TREE MAISON CORONATING HOMES Iron Strip | 0.5 INCH | Pack of 2 | Iron Strip for Vastu | Vastu Strip Remedy | Width-12mm, Thickness-0.3mm, Length-8 Feet Approx	The purpose of this metal strips technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	0622AW0GW3X	299		2023-06-22 17:43:23 IST	1		11			B0C8ZDSCHS		AMAZON_IN	297.0														Template		A_GEN_STANDARD	Active	239.0	479.0								999.0
0.5IN-S.STEEL-STRIP-ST2-.COM	B0C8ZDHT6L	TREE MAISON CORONATING HOMES Vastu Stainless Steel Strip | Width- 0.5 Inch | Thickness - 0.3mm | Length- 8 Feet Approx | Zone Balancing |Toilet Correction | Stainless Steel Strip for Vastu | Pack of 2	The purpose of this metal strips technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	0622AW3Y9KH	299		2023-06-22 17:43:23 IST	1		11			B0C8ZDHT6L		AMAZON_IN	297.0														Template		A_GEN_STANDARD	Active	239.0	479.0								999.0
0.5MM-25FT-STRIP-0.5INCH-ALUM-ST-1	B0GBVRT9H5	TREEMAISON CORONATING Homes Vastu Aluminium Strip | Width- 0.5 Inch | Thickness - 0.5mm | Length- 25 Feet Approx | Zone Balancing | Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1222FAK7U9D	999	10	2025-12-22 11:37:02 IST	1		11			B0GBVRT9H5	0	DEFAULT	997.0														Template			Active	899.0	1198.0								1299.0
0.5MM-25FT-STRIP-0.5INCH-BRASS-ST-1	B0G9S66TB2	TREEMAISON CORONATING Homes Vastu Brass Strip | Width- 0.5 Inch | Thickness - 0.5mm | Length- 25 Feet Approx | Zone Balancing |Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1220F6X6CBQ	1499	10	2025-12-20 15:38:20 IST	1		11			B0G9S66TB2	0	DEFAULT	1497.0														Template			Active	1349.0	1798.0								1799.0
0.5MM-25FT-STRIP-0.5INCH-COPPER-ST-1	B0G9Q5TBGR	TREE MAISON CORONATING HOMES Vastu Copper Strip | Width- 0.5 Inch | Thickness - 0.5mm | Length- 25 Feet Approx | Zone Balancing |Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1220F6UOWOR	1499	10	2025-12-20 15:38:20 IST	1		11			B0G9Q5TBGR	0	DEFAULT	1497.0														Template		A_GEN_STANDARD	Active	1349.0	1798.0								1799.0
0.5MM-25FT-STRIP-0.5INCH-SS-ST-1	B0G9SC55BW	TREEMAISON CORONATING Homes Vastu S.Steel Strip | Width- 0.5 Inch | Thickness - 0.5mm | Length- 25 Feet Approx | Zone Balancing | Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1220F6S4EHN	999	10	2025-12-20 15:38:21 IST	1		11			B0G9SC55BW	0	DEFAULT	997.0														Template			Active	899.0	1198.0								1299.0
0.5MM-25FT-STRIP-0.75INCH-ALUM-ST-1	B0GBW5KGR9	TREEMAISON CORONATING Homes Vastu Aluminium Strip | Width- 0.75 Inch | Thickness - 0.5mm | Length- 25 Feet Approx | Zone Balancing | Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1222FAMU0SY	1199	10	2025-12-22 11:37:05 IST	1		11			B0GBW5KGR9	0	DEFAULT	1197.0														Template			Active	1079.0	1438.0								1499.0
