(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B09G393ZCR,B09G393ZCR,TREEMAISON Vastu Copper Strip | Width- 0.5 Inch | Thickness - 0.3mm | Length- 8 Feet Approx | Zone Balancing | Vastu Copper Strip for Toilet Correction | Copper Strip for Vastu | Pack of 1,COPPER-STRIP-0.5-ST1,"9,872",571,2.49%,3.37%,"14,903",922,2.56%,3.67%,99.62%,100.00%,"1,679",92,17.01%,16.11%,"₹5,01,401.00","₹27,841.00","1,239",58
B0FKZ72QKH,B0FKZ72QKH,"TREE MAISON CORONATING HOMES Vastu Shakti Chakra | 7 Inch | Featuring 45 Devtas, 16 Attributes, Health Chart, for vaastu Shashtra Remedy (Acrylic)",7-INCH-SHAKTI-CHAKRA-04,"9,225",359,2.32%,2.12%,"16,547",626,2.84%,2.49%,99.83%,99.37%,993,35,10.76%,9.75%,"₹2,76,480.00","₹9,743.00",974,35
B0DGXH1GHV,B0DGXH1GHV,TREE MAISON CORONATING HOMES Selenite Seven Chakra Crystal Charging Plate | 3 Inch Approx | Selenite Plate to Charge Reiki Crystal | Spiritual Gifts for Healing,7CHAKRA-SQUARE-SELENITE-PLATE-3INCH,"4,155",111,1.05%,0.66%,"6,340",170,1.09%,0.68%,99.61%,100.00%,532,9,12.80%,8.11%,"₹1,56,850.00","₹2,691.00",487,8
B0CDH7HYGR,B0CDH7HYGR,TREE MAISON CORONATING HOMES Vastu Red Tape | Size - 3 Inch (72 mm) Approx | Length- 20 Meter (Approx) | Vastu Tape for Toilet Correction | Vastu Tape for Main Door | Tape Remedy | Pack of 1,3-INCH-TAPE-RED-ST-1,"2,407",117,0.61%,0.69%,"3,440",155,0.59%,0.62%,99.57%,100.00%,509,29,21.15%,24.79%,"₹1,33,686.00","₹7,697.00",460,21
B09G9STLDT,B09G9STLDT,TREEMAISON Vastu Arylic Shakti Chakra | Size- 6 Inch | Vastu Remedy | Vastu Dosh | Vastu Chakra Remedy | Shakti Chakra for Vastu,VASTU-SHAKTI-CHAKRA-03,"18,749",720,4.72%,4.25%,"28,438","1,140",4.88%,4.54%,99.50%,99.85%,449,68,2.39%,9.44%,"₹1,19,773.00","₹18,355.00",395,33
B0CR5YYNL2,B0CR5YYNL2,"TREE MAISON CORONATING HOMES Copper Strip | 1 INCH | Pack of 1 | Vastu Copper Strip for Toilet | Vastu Strip Remedy | Width-25mm, Thickness-0.2mm, Length- 4 Feet Approx",4FEET-STRIP-1INCH-COPPER-SET-1,"2,600",176,0.65%,1.04%,"4,039",266,0.69%,1.06%,99.41%,100.00%,496,29,19.08%,16.48%,"₹1,41,624.00","₹8,275.00",314,17
B0CL2KGHJR,B0CL2KGHJR,"TREE MAISON CORONATING HOMES Vastu Shakti Chakra | 7 Inch | Featuring 45 Devtas, 16 Attributes, Health Chart, for vaastu Shashtra Remedy (Acrylic)",FBA-PLAIN-BLACK-SHAKTICHAKRA-7IN,"5,068",225,1.28%,1.33%,"8,323",370,1.43%,1.47%,92.95%,94.39%,315,16,6.22%,7.11%,"₹93,671.00","₹4,842.00",311,16
B09G38FZ7G,B09G38FZ7G,"TREEMAISON CORNATING HOMES Aluminium Strip Vastu Remedy for Home Entrance, Maha Vastu Remedy for Toilet Correction and Zone (Aluminium, 8 FEET, 12MM WIDHT, 0.2MM GAUGE) (Pack of 1),",ALUMINIUM-STRIP-0.5-ST1,"1,502",85,0.38%,0.50%,"2,370",137,0.41%,0.55%,99.76%,100.00%,315,29,20.97%,34.12%,"₹71,997.00","₹6,583.00",231,14
B09MJ5CR7Q,B09MJ5CR7Q,TREE MAISON CORONATING HOMES Brass Vaastu Owl | Size - 3.5 Inch (Approx) | Weight - 650 G (Approx) | Home Decor | Feng Shui | Vastu Shastra Remedies | Owl Statue for Good Luck,BRASS-OWL-SET1,"3,063",125,0.77%,0.74%,"4,276",165,0.73%,0.66%,99.89%,100.00%,247,10,8.06%,8.00%,"₹2,35,641.00","₹9,782.00",196,9
B0BLCBRK8X,B0BLCBRK8X,"TREE MAISON CORONATING HOMES Acrylic Vastu Shakti Chakra | Size-12 Inch | Featuring 45 Devtas,16 Attributes | Health Chart | Rajas, Sattav, Tamas for vastu Remedy | Vastu Shakti Chakra | Pack of 1",SHAKTI-CHAKRA-12-INCH-02,"5,095",246,1.28%,1.45%,"9,117",451,1.56%,1.80%,99.66%,99.57%,186,13,3.65%,5.28%,"₹1,36,801.00","₹9,827.00",184,12
