(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B09G393ZCR,B09G393ZCR,TREEMAISON Vastu Copper Strip | Width- 0.5 Inch | Thickness - 0.3mm | Length- 8 Feet Approx | Zone Balancing | Vastu Copper Strip for Toilet Correction | Copper Strip for Vastu | Pack of 1,COPPER-STRIP-0.5-ST1,"2,867",147,3.52%,4.55%,"4,268",250,3.57%,5.19%,99.51%,100.00%,546,28,19.04%,19.05%,"₹1,62,955.00","₹8,372.00",403,19
B0FKZ72QKH,B0FKZ72QKH,"TREE MAISON CORONATING HOMES Vastu Shakti Chakra | 7 Inch | Featuring 45 Devtas, 16 Attributes, Health Chart, for vaastu Shashtra Remedy (Acrylic)",7-INCH-SHAKTI-CHAKRA-04,"2,496",92,3.06%,2.84%,"4,577",180,3.83%,3.74%,99.73%,100.00%,291,9,11.66%,9.78%,"₹78,400.00","₹2,391.00",287,9
B0CDH7HYGR,B0CDH7HYGR,TREE MAISON CORONATING HOMES Vastu Red Tape | Size - 3 Inch (72 mm) Approx | Length- 20 Meter (Approx) | Vastu Tape for Toilet Correction | Vastu Tape for Main Door | Tape Remedy | Pack of 1,3-INCH-TAPE-RED-ST-1,717,35,0.88%,1.08%,"1,012",46,0.85%,0.96%,99.78%,100.00%,168,6,23.43%,17.14%,"₹44,255.00","₹1,590.00",148,6
B0CR5YYNL2,B0CR5YYNL2,"TREE MAISON CORONATING HOMES Copper Strip | 1 INCH | Pack of 1 | Vastu Copper Strip for Toilet | Vastu Strip Remedy | Width-25mm, Thickness-0.2mm, Length- 4 Feet Approx",4FEET-STRIP-1INCH-COPPER-SET-1,870,66,1.07%,2.04%,"1,364",102,1.14%,2.12%,99.83%,100.00%,193,13,22.18%,19.70%,"₹54,528.00","₹3,692.00",120,8
B0DGXH1GHV,B0DGXH1GHV,TREE MAISON CORONATING HOMES Selenite Seven Chakra Crystal Charging Plate | 3 Inch Approx | Selenite Plate to Charge Reiki Crystal | Spiritual Gifts for Healing,7CHAKRA-SQUARE-SELENITE-PLATE-3INCH,842,16,1.03%,0.49%,"1,235",20,1.03%,0.42%,99.55%,100.00%,114,3,13.54%,18.75%,"₹33,488.00",₹897.00,103,2
B09G9STLDT,B09G9STLDT,TREEMAISON Vastu Arylic Shakti Chakra | Size- 6 Inch | Vastu Remedy | Vastu Dosh | Vastu Chakra Remedy | Shakti Chakra for Vastu,VASTU-SHAKTI-CHAKRA-03,"3,989",134,4.89%,4.14%,"5,875",223,4.92%,4.63%,99.55%,99.29%,114,31,2.86%,23.13%,"₹30,552.00","₹8,308.00",93,10
B0CMQQ9KDH,B0CMQQ9KDH,TREE MAISON CORONATING HOMES Brass Swastik (卐) Sathiya Wall Hanging Yantra | 5 Inches | Vastu Door Hanging for Najar Dosh |Weight-350gm Approx |Decorative Home Decor Symbol for Positive Vibes,BRASS-SWASTIK-ST1,896,35,1.10%,1.08%,"1,352",54,1.13%,1.12%,99.83%,100.00%,123,2,13.73%,5.71%,"₹67,817.00","₹1,098.00",85,2
B09G38FZ7G,B09G38FZ7G,"TREEMAISON CORNATING HOMES Aluminium Strip Vastu Remedy for Home Entrance, Maha Vastu Remedy for Toilet Correction and Zone (Aluminium, 8 FEET, 12MM WIDHT, 0.2MM GAUGE) (Pack of 1),",ALUMINIUM-STRIP-0.5-ST1,472,29,0.58%,0.90%,691,43,0.58%,0.89%,99.52%,100.00%,101,9,21.40%,31.03%,"₹22,927.00","₹2,043.00",79,7
B0CL2KGHJR,B0CL2KGHJR,"TREE MAISON CORONATING HOMES Vastu Shakti Chakra | 7 Inch | Featuring 45 Devtas, 16 Attributes, Health Chart, for vaastu Shashtra Remedy (Acrylic)",FBA-PLAIN-BLACK-SHAKTICHAKRA-7IN,"1,323",63,1.62%,1.95%,"2,196",105,1.84%,2.18%,93.27%,91.11%,80,3,6.05%,4.76%,"₹23,920.00",₹897.00,78,3
B092J2JT6N,B092J2JT6N,TREE MAISON CORONATING HOMES Vastu Brass Nandi Cow Statue | 810 g Weight Approx | Vastu Remedy for Home & Office | Size- 9 X 11 Cm | Nandi Idol for Pooja | Vastu Brass Nandi Bull,FBA-VASTU-NANDI-BRASS-STATUE,"1,006",46,1.23%,1.42%,"1,498",63,1.25%,1.31%,94.49%,82.50%,58,3,5.77%,6.52%,"₹93,905.00","₹4,755.00",56,3
B0CDM63JPZ,B0CDM63JPZ,"TREE MAISON CORONATING HOMES Iron Strip | 0.5 INCH | Pack of 1 | Vastu Iron Strip for Toilet | Vastu Strip Remedy | Width-12mm, Thickness-0.2mm, Length-8 Feet Approx",LW-0.5INCH-IRON-ST1,259,21,0.32%,0.65%,396,29,0.33%,0.60%,98.59%,100.00%,80,2,30.89%,9.52%,"₹18,160.00",₹454.00,56,2
B09G3B3KDV,B09G3B3KDV,"TREEMAISON Aluminium Strip | 1 INCH | Pack of 1 | Vastu Aluminium Strip for Toilet | Vastu Strip Remedy | Width-25mm, Thickness-0.3mm, Length-8 Feet Approx",NW-ALUMINIUM-STRIP-1INCH-ST1,379,14,0.46%,0.43%,617,16,0.52%,0.33%,99.63%,100.00%,65,1,17.15%,7.14%,"₹18,460.00",₹284.00,54,1
B0BHTCFVYP,B0BHTCFVYP,TREE MAISON CORONATING HOMES Brass Dowsing L Rods Pair Plastic Handle | Aura Energy Scanner | Finding Underground Water & Geopathic Stress | Reiki | Dowsing Rods | Pendulum Assorted,BRASS-L-DOWSING-ROD,"2,228",87,2.73%,2.69%,"3,282",130,2.75%,2.70%,99.92%,100.00%,54,2,2.42%,2.30%,"₹1,06,326.00","₹3,938.00",54,2
B09KXWG2QN,B09KXWG2QN,TREEMAISON Vastu Yellow Tape | Size - 1 Inch (24 mm) Approx | Length- 20 Meter (Approx) | Vastu Tape Remedy for Toilet | Vastu Tape for Main Door Entrance | Tape Remedy | Pack of 1,YELLOW-1-INCH-TAPE-ST1,205,11,0.25%,0.34%,308,22,0.26%,0.46%,99.23%,100.00%,55,3,26.83%,27.27%,"₹10,395.00",₹567.00,53,3
B09G9RP6HK,B09G9RP6HK,TREEMAISON Plastic Maha Vastu Dosh Sakti Chakra Remedy (Transparent),VASTU-SHAKTI-CHAKRA-02,683,32,0.84%,0.99%,"1,027",56,0.86%,1.16%,98.79%,100.00%,50,9,7.32%,28.13%,"₹13,132.00","₹2,412.00",49,9
