Shipment Creation Date,Shipment ID,shipment Type,SKU,MSKU,ASIN,Custom ID,Title,Shipment Tracking ID,Customer Order ID,Units,Status,Order Value,ExSD,Assigned to picklist,Packed,Actual Shipout Date,Hazmat,Serial Number,Expiry,Gift Msg,Gift Wrap,Is Fast Track,Channel
24-Apr-2026,T3nCjmdVY,Customer,E9umH4oMSP,BRNGS-BRASS-STRIP-ST1,B09NPYT3X5,,"BRONGS Vastu Brass Strip | 1 INCH | Pack of 1 | Brass Strip for Vastu | Strip for Toilet Correction | Vastu Strip Remedy | Width-25mm, Thickness-0.3mm, Length-8 Feet Approx",,408-9785639-0354761,2,Confirmed,906.30,26-Apr-2026 02:00 PM,,,,False,False,,False,False,False,FBA
24-Apr-2026,TGqPqGd5Y,Customer,E19bpEmliM,ALUMINIUM-STRIP-0.5-ST2,B09G38W1VR,,"TREEMAISON Aluminium Strip | 0.5 INCH | Length-8 Feet Approx | Pack of 2 | Vastu Strip for Toilet | Vastu Strip Remedy | Width-12mm, Thickness-0.3mm | Aluminium Strip for Vastu",368860415069,405-1035664-9841929,1,Manifested,284.15,24-Apr-2026 02:00 PM,24-Apr-2026 01:25 PM,24-Apr-2026 01:26 PM,24-Apr-2026 03:16 PM,False,False,,False,False,False,FBA
24-Apr-2026,TJmKCcdhY,Customer,E89sAW1NI8,12FEET-0.5INCH-STRIP-COPPER-SET-1,B0CR478K12,,TREE MAISON CORONATING HOMES Copper Strip | Width-0.5 Inch | Thickness -0.2mm | Length-12 Feet Approx | Zone Balancing |Toilet Correction | Main Entrance | Copper Strip for Vastu | Pack of 1,368860415021,404-7733078-3549917,1,Manifested,441.00,24-Apr-2026 02:00 PM,24-Apr-2026 01:25 PM,24-Apr-2026 01:26 PM,24-Apr-2026 03:16 PM,False,False,,False,False,False,FBA
24-Apr-2026,Tg7QKLdQY,Customer,Ekugq0Thw1,VASTU-SHAKTI-CHAKRA-03,B09G9STLDT,,TREEMAISON Vastu Arylic Shakti Chakra | Size- 6 Inch | Vastu Remedy | Vastu Dosh | Vastu Chakra Remedy | Shakti Chakra for Vastu,368860415038,406-4197809-1892330,10,Manifested,2412.00,24-Apr-2026 02:00 PM,24-Apr-2026 01:25 PM,24-Apr-2026 01:26 PM,24-Apr-2026 03:16 PM,False,False,,False,False,False,FBA
24-Apr-2026,TNtdKqdzY,Customer,E1P6XcjBFm,2-INCH-TAPE-SET-5,B0D9KHKD6X,,TREE MAISON CORONATING HOMES Vastu Combo of 5 Color Tape | Size - 2 Inch (48 mm) Approx | Length- 20 Meter (Approx) | Vastu Tape Remedy for Toilet | Vastu Tape for Main Door Entrance | Pack of 5,,408-4588650-3481913,1,Confirmed,625.00,25-Apr-2026 02:00 PM,,,,False,False,False,False,False,False,FBA
24-Apr-2026,TNYK0NdtY,Customer,Ek0LSfKLxA,5MM-ONLY-COPPER-WITHOUT-HANDLE,B0CQVBX73X,,TREE MAISON CORONATING HOMES Vastu Copper Dowsing L-Rod | 5 MM DIAMETER | Vastu Energy Correction Tool for Home & Office | Copper L Shaped Dowsing Rod for Positive Energy | Only 2 Rods,368860414413,403-3015066-0066741,1,Manifested,804.00,24-Apr-2026 02:00 PM,24-Apr-2026 01:25 PM,24-Apr-2026 01:26 PM,24-Apr-2026 03:16 PM,False,False,,False,False,False,FBA
24-Apr-2026,TCHpSLdkY,Customer,E8BLXCKnsR,4-INCH-PLAIN-BRASS-HELIX-ST1,B09YNLFC5G,,TREE MAISON CORONATING HOMES Vastu Helix Brass (Plain) | Vastu Helix (North-West) | Main Door Entrance & Toilet Dosh Correction | Vastu Dosh Nivaran Remedies (4-inch) | Pack of 1,368858411271,405-2755685-1608368,1,Manifested,549.50,24-Apr-2026 02:00 PM,24-Apr-2026 12:00 PM,24-Apr-2026 12:01 PM,24-Apr-2026 03:16 PM,False,False,,False,False,False,FBA
24-Apr-2026,T6c4SldQY,Customer,EgJs3kdAdf,VASTU-VEDIC-S.C-6IN,B0DD441C3M,,TREE MAISON CORONATING HOMES Vastu Acrylic Vedic Shakti Chakra | Size - 6 Inch | Health Chart | Vastu Shakti Chakra | Grid Map | Vastu Chakra | Vastu Remedy,368858404129,403-0325405-9229972,1,Manifested,268.00,24-Apr-2026 02:00 PM,24-Apr-2026 12:00 PM,24-Apr-2026 12:01 PM,24-Apr-2026 03:16 PM,False,False,,False,False,False,FBA
24-Apr-2026,Tw48xRd1Y,Customer,EKn9RXWbaD,COPPER-1.5-INCH-ST9,B09W92XBF3,,TREEMAISON CORONATING Homes Vastu Round Copper Stud | Size - 1.5 Inch | Remedy for Vastu Dosh Correction & Zone Balancing Fire Element (Pack of 09),368858411325,405-9342849-0786735,1,Manifested,550.90,24-Apr-2026 02:00 PM,24-Apr-2026 12:00 PM,24-Apr-2026 12:01 PM,24-Apr-2026 03:16 PM,False,False,,False,False,False,FBA
24-Apr-2026,T6DT7vdbY,Customer,EEdltBmXUi,BRASS-SUN-6INCH,B0BG8NL2TK,,TREE MAISON CORONATING HOMES Brass Sun Face Wall Hanging | Weight - 800 Gram Approx | 6-Inch (Approx) | Pital Surya Idol for Home & Office Décor | Sun for Vastu | Sun Wall Hanging,368852512288,403-2654975-5522701,1,Manifested,1520.20,24-Apr-2026 02:00 PM,24-Apr-2026 09:26 AM,24-Apr-2026 09:44 AM,24-Apr-2026 03:16 PM,False,False,,False,False,False,FBA
24-Apr-2026,Tc0rxqdqY,Customer,EB6ArBQJwV,BG-A4-SEVEN-RED-HORSE-FRAME,B0GWCSQZLR,,BRONGS Vastu Seven Red Horse Painting With Frame |Size-33×23cm Approx |Weight-520gm Approx |Art Wall Painting Frame for Home & Office Décor |Pack Of 1,,408-2258730-1825167,1,Confirmed,500.95,25-Apr-2026 02:00 PM,,,,False,False,,False,False,True,FBA
24-Apr-2026,TCV70NdqY,Customer,EC8fHSWQB3,9INCH-BRASS-SWASTIK,B0CQYTM39S,,TREE MAISON CORONATING HOMES Brass Swastik (卐) Sathiya Wall Hanging Yantra | 9 Inch | Vastu Door Hanging for Najar Dosh|Weight-1kg Approx | Decorative Home Decor Symbol for Positive Vibes,368851772591,403-2000902-0154722,1,Manifested,1713.50,24-Apr-2026 02:00 PM,24-Apr-2026 09:26 AM,24-Apr-2026 09:32 AM,24-Apr-2026 03:16 PM,False,False,,False,False,False,FBA
24-Apr-2026,TnFHvFdkY,Customer,EsVUwuXR0e,VASTU-7INCH-BLACK-SHAKTI-CHAKRA,B0CTFL5SCR,,"TREE MAISON CORONATING HOMES Vastu Acrylic Shakti Chakra | 7 Inch | Featuring 45 Devtas, 16 Attributes, Health Chart, Rajas, Sattav, Tamas for Vaastu Shashtra Remedy | Vastu Shakti Chakra",368851775271,408-6364491-0765909,1,Manifested,304.00,24-Apr-2026 02:00 PM,24-Apr-2026 09:26 AM,24-Apr-2026 09:32 AM,24-Apr-2026 03:16 PM,False,False,,False,False,False,FBA
24-Apr-2026,T3wLwbdTY,Customer,EEdltBmXUi,BRASS-SUN-6INCH,B0BG8NL2TK,,TREE MAISON CORONATING HOMES Brass Sun Face Wall Hanging | Weight - 800 Gram Approx | 6-Inch (Approx) | Pital Surya Idol for Home & Office Décor | Sun for Vastu | Sun Wall Hanging,368851774205,405-6037144-2337940,1,Manifested,1536.00,24-Apr-2026 02:00 PM,24-Apr-2026 09:26 AM,24-Apr-2026 09:32 AM,24-Apr-2026 03:16 PM,False,False,,False,False,False,FBA
24-Apr-2026,TgZPYwdtY,Customer,EohR2d9ynf,RHODOCHROSITE-BRACELET,B0CZHQH325,,TREE MAISON CORONATING HOMES Crystal Products Natural Rhodochrosite Bracelet | Certified 8mm Faceted Beads | Diameter : 2.5 Inch | Reiki Healing & Crystal Healing Stones | Unisex Adult | Strechable,368851780046,405-5489854-2041149,1,Manifested,422.00,24-Apr-2026 02:00 PM,24-Apr-2026 09:26 AM,24-Apr-2026 09:32 AM,24-Apr-2026 03:16 PM,False,False,,False,False,False,FBA
24-Apr-2026,TXwGyJdGY,Customer,EuPgTeHO3o,BRASS-SWASTIK-ST1,B0CMQQ9KDH,,TREE MAISON CORONATING HOMES Brass Swastik (卐) Sathiya Wall Hanging Yantra | 5 Inches | Vastu Door Hanging for Najar Dosh |Weight-350gm Approx |Decorative Home Decor Symbol for Positive Vibes,368852093824,406-9631209-1841906,10,Manifested,4958.00,24-Apr-2026 02:00 PM,24-Apr-2026 09:26 AM,24-Apr-2026 09:37 AM,24-Apr-2026 03:16 PM,False,False,,False,False,False,FBA
