"Date","FNSKU","ASIN","MSKU","Title","Disposition","Starting Warehouse Balance","In Transit Between Warehouses","Receipts","Customer Shipments","Customer Returns","Vendor Returns","Warehouse Transfer In/Out","Found","Lost","Damaged","Disposed","Other Events","Ending Warehouse Balance","Unknown Events","Location"
"04/22/2026","X002DGVF4R","B0FHGZW7RY","BG-7CHAKRA-SQUARE-PLT-10GM-PYRIT","BRONGS Selenite Charging Plate – 3 Inch with 10–20 Gram Raw Pyrite Stone | Selenite Plate for Crystal Charging, Energy Healing & Spiritual Decor","SELLABLE","49","0","0","0","0","0","0","0","0","0","0","0","49","0","TSWX"
"04/22/2026","X002DGVF51","B0FHH3N5HS","BG-SHRIYNTRA-CLR-SQAURE-PLT-10GM-PYRIT","BRONGS Selenite Charging Plate – 3 Inch with 10–20 Gram Raw Pyrite Stone | Selenite Plate for Crystal Charging, Energy Healing & Spiritual Decor","SELLABLE","48","0","0","0","0","0","0","0","0","0","0","0","48","0","TSWX"
"04/22/2026","X002DGVFAV","B0FHH1P6Y7","HEXA-SQAURE-PLT-10GM-PYRIT","TREE MAISON CORONATING HOMES Selenite Charging Plate – 3 Inch with 10–20 Gram Raw Pyrite Stone | Selenite Plate for Crystal Charging, Energy Healing & Spiritual Decor","SELLABLE","49","0","0","0","0","0","0","0","0","0","0","0","49","0","TSWX"
"04/22/2026","X002DGWOB5","B0FHH348PF","BG-PLAIN-SQUARE-PLT-10GM-PYRIT","BRONGS Selenite Charging Plate – 3 Inch with 10–20 Gram Raw Pyrite Stone | Selenite Plate for Crystal Charging, Energy Healing & Spiritual Decor","SELLABLE","50","0","0","0","0","0","0","0","0","0","0","0","50","0","TSWX"
"04/22/2026","X002DGWOGP","B0FHGZTY73","7CHAKRA-SQUARE-PLT-10GM-PYRIT","TREE MAISON CORONATING HOMES Selenite Charging Plate – 3 Inch with 10–20 Gram Raw Pyrite Stone | Selenite Plate for Crystal Charging, Energy Healing & Spiritual Decor","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","BOM5"
"04/22/2026","X002DGWOGP","B0FHGZTY73","7CHAKRA-SQUARE-PLT-10GM-PYRIT","TREE MAISON CORONATING HOMES Selenite Charging Plate – 3 Inch with 10–20 Gram Raw Pyrite Stone | Selenite Plate for Crystal Charging, Energy Healing & Spiritual Decor","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","BOM7"
"04/22/2026","X002DGWOGP","B0FHGZTY73","7CHAKRA-SQUARE-PLT-10GM-PYRIT","TREE MAISON CORONATING HOMES Selenite Charging Plate – 3 Inch with 10–20 Gram Raw Pyrite Stone | Selenite Plate for Crystal Charging, Energy Healing & Spiritual Decor","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","CCX1"
"04/22/2026","X002DGWOGP","B0FHGZTY73","7CHAKRA-SQUARE-PLT-10GM-PYRIT","TREE MAISON CORONATING HOMES Selenite Charging Plate – 3 Inch with 10–20 Gram Raw Pyrite Stone | Selenite Plate for Crystal Charging, Energy Healing & Spiritual Decor","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","CCX2"
"04/22/2026","X002DGWOGP","B0FHGZTY73","7CHAKRA-SQUARE-PLT-10GM-PYRIT","TREE MAISON CORONATING HOMES Selenite Charging Plate – 3 Inch with 10–20 Gram Raw Pyrite Stone | Selenite Plate for Crystal Charging, Energy Healing & Spiritual Decor","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","CJB1"
"04/22/2026","X002DGWOGP","B0FHGZTY73","7CHAKRA-SQUARE-PLT-10GM-PYRIT","TREE MAISON CORONATING HOMES Selenite Charging Plate – 3 Inch with 10–20 Gram Raw Pyrite Stone | Selenite Plate for Crystal Charging, Energy Healing & Spiritual Decor","SELLABLE","36","0","0","0","0","0","0","0","0","0","0","0","36","0","TSWX"
"04/22/2026","X002DS1RJD","B0FKZ72QKH","7-INCH-SHAKTI-CHAKRA-04","TREE MAISON CORONATING HOMES Vastu Shakti Chakra | 7 Inch | Featuring 45 Devtas, 16 Attributes, Health Chart, for vaastu Shashtra Remedy (Acrylic)","SELLABLE","2","0","0","-2","0","0","0","0","0","0","0","0","0","0","BOM5"
"04/22/2026","X002DS1RJD","B0FKZ72QKH","7-INCH-SHAKTI-CHAKRA-04","TREE MAISON CORONATING HOMES Vastu Shakti Chakra | 7 Inch | Featuring 45 Devtas, 16 Attributes, Health Chart, for vaastu Shashtra Remedy (Acrylic)","SELLABLE","10","0","0","0","0","0","0","0","0","0","0","0","10","0","CCX1"
"04/22/2026","X002DS1RJD","B0FKZ72QKH","7-INCH-SHAKTI-CHAKRA-04","TREE MAISON CORONATING HOMES Vastu Shakti Chakra | 7 Inch | Featuring 45 Devtas, 16 Attributes, Health Chart, for vaastu Shashtra Remedy (Acrylic)","SELLABLE","0","0","5","0","0","0","0","0","0","0","0","0","5","0","CJB1"
"04/22/2026","X002DS1RJD","B0FKZ72QKH","7-INCH-SHAKTI-CHAKRA-04","TREE MAISON CORONATING HOMES Vastu Shakti Chakra | 7 Inch | Featuring 45 Devtas, 16 Attributes, Health Chart, for vaastu Shashtra Remedy (Acrylic)","SELLABLE","0","10","0","0","0","0","0","0","0","0","0","0","0","0","DED3"
"04/22/2026","X002DS1RJD","B0FKZ72QKH","7-INCH-SHAKTI-CHAKRA-04","TREE MAISON CORONATING HOMES Vastu Shakti Chakra | 7 Inch | Featuring 45 Devtas, 16 Attributes, Health Chart, for vaastu Shashtra Remedy (Acrylic)","SELLABLE","5","0","0","-1","0","0","0","0","0","0","0","0","4","0","DEL4"
"04/22/2026","X002DS1RJD","B0FKZ72QKH","7-INCH-SHAKTI-CHAKRA-04","TREE MAISON CORONATING HOMES Vastu Shakti Chakra | 7 Inch | Featuring 45 Devtas, 16 Attributes, Health Chart, for vaastu Shashtra Remedy (Acrylic)","SELLABLE","0","0","10","0","0","0","0","0","0","0","0","0","10","0","HYD3"
"04/22/2026","X002DS1RJD","B0FKZ72QKH","7-INCH-SHAKTI-CHAKRA-04","TREE MAISON CORONATING HOMES Vastu Shakti Chakra | 7 Inch | Featuring 45 Devtas, 16 Attributes, Health Chart, for vaastu Shashtra Remedy (Acrylic)","SELLABLE","0","0","10","0","0","0","0","0","0","0","0","0","10","0","HYD8"
"04/22/2026","X002DS1RJD","B0FKZ72QKH","7-INCH-SHAKTI-CHAKRA-04","TREE MAISON CORONATING HOMES Vastu Shakti Chakra | 7 Inch | Featuring 45 Devtas, 16 Attributes, Health Chart, for vaastu Shashtra Remedy (Acrylic)","SELLABLE","7","0","0","-2","0","0","0","0","0","0","0","0","5","0","NAX1"
"04/22/2026","X002DS1RJD","B0FKZ72QKH","7-INCH-SHAKTI-CHAKRA-04","TREE MAISON CORONATING HOMES Vastu Shakti Chakra | 7 Inch | Featuring 45 Devtas, 16 Attributes, Health Chart, for vaastu Shashtra Remedy (Acrylic)","SELLABLE","0","0","0","-1","0","0","10","0","0","0","0","0","9","0","PNQ3"
"04/22/2026","X002DS1RJD","B0FKZ72QKH","7-INCH-SHAKTI-CHAKRA-04","TREE MAISON CORONATING HOMES Vastu Shakti Chakra | 7 Inch | Featuring 45 Devtas, 16 Attributes, Health Chart, for vaastu Shashtra Remedy (Acrylic)","SELLABLE","102","0","0","-2","0","0","0","0","0","0","0","0","100","0","TSWX"
"04/22/2026","X002DS8PIJ","B0FH2GJN8V","BG-2IN-BRASS-HLW-PLN-PYRAMID-ST-9","BRONGS Vastu Pure Brass Hollow Pyramid | 2-Inch | Pack of 9 | Boost Positive Vastu Energy for Home & Office | Powerful Remedies for Health & Wealth |Weight of 1 Pyramid-10gm Approx","SELLABLE","50","0","0","0","0","0","0","0","0","0","0","0","50","0","TSWX"
"04/22/2026","X002DSA6KT","B0FH2FMYZ1","BG-2IN-BRASS-HLW-PLN-PYRAMID-ST-1","BRONGS Pure Brass Hollow Pyramid | 2-Inch | Pack of 1 | Boost Positive Vastu Energy for Home & Office | Powerful Remedies for Health & Wealth |Weight of 1 Pyramid-10gm Approx","SELLABLE","60","0","0","0","0","0","0","0","0","0","0","0","60","0","TSWX"
"04/22/2026","X002DSBPE5","B0FKZ541V8","BG-7-IN-SHAKTI-CHAKRA-04","BRONGS Vastu Shakti Chakra | 7 Inch | Featuring 45 Devtas, 16 Attributes, Health Chart, for vaastu Shashtra Remedy (Acrylic)","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","BLR8"
"04/22/2026","X002DSBPE5","B0FKZ541V8","BG-7-IN-SHAKTI-CHAKRA-04","BRONGS Vastu Shakti Chakra | 7 Inch | Featuring 45 Devtas, 16 Attributes, Health Chart, for vaastu Shashtra Remedy (Acrylic)","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","BOM5"
"04/22/2026","X002DSBPE5","B0FKZ541V8","BG-7-IN-SHAKTI-CHAKRA-04","BRONGS Vastu Shakti Chakra | 7 Inch | Featuring 45 Devtas, 16 Attributes, Health Chart, for vaastu Shashtra Remedy (Acrylic)","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","CJB1"
"04/22/2026","X002DSBPE5","B0FKZ541V8","BG-7-IN-SHAKTI-CHAKRA-04","BRONGS Vastu Shakti Chakra | 7 Inch | Featuring 45 Devtas, 16 Attributes, Health Chart, for vaastu Shashtra Remedy (Acrylic)","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","DED4"
"04/22/2026","X002DSBPE5","B0FKZ541V8","BG-7-IN-SHAKTI-CHAKRA-04","BRONGS Vastu Shakti Chakra | 7 Inch | Featuring 45 Devtas, 16 Attributes, Health Chart, for vaastu Shashtra Remedy (Acrylic)","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","MAA4"
"04/22/2026","X002DSBPE5","B0FKZ541V8","BG-7-IN-SHAKTI-CHAKRA-04","BRONGS Vastu Shakti Chakra | 7 Inch | Featuring 45 Devtas, 16 Attributes, Health Chart, for vaastu Shashtra Remedy (Acrylic)","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","NAX1"
"04/22/2026","X002DSBPE5","B0FKZ541V8","BG-7-IN-SHAKTI-CHAKRA-04","BRONGS Vastu Shakti Chakra | 7 Inch | Featuring 45 Devtas, 16 Attributes, Health Chart, for vaastu Shashtra Remedy (Acrylic)","SELLABLE","97","0","0","0","0","0","0","0","0","0","0","0","97","0","TSWX"
"04/22/2026","X002DSBYMN","B0F9X5N4LY","BG-GARUDA-DEV","BRONGS Brass Garuda Dev Statue | Height - 9 cm Aprrox | Weight -360 Gram Approx. | Vastu Idol for Home and Office | Zonal Placement -SW | Garuda Idol","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","CCX1"
